rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
1.0,Received Used & scratched item! Purchased new!,Livid.  Once again received an obviously used item that has food on it & scratches. I purchased this new!!  Pics not loading rn. Will add them later. Disgusted.,[],B007WQ9YNO,B09XWYG6X1,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1677373409298,1,True
5.0,Excellent for moving & storage & floods!,"I purchased these for multiple reasons. The main reason was that I was moving. I was moving bc my apt kept flooding.  Luckily having been through other floods I generally store all my stuff in plastic containers anyways. Sadly a couple of my vintage Singer’s in wooden boxes had been left out during the last move & the last flood got them moldy & ruined them.  I am a bibliophile & these bags held not only huge stacks of my hardcover books, but my 40 pound Singer sewing machines. I also carried hundreds of pounds of yarn (50 per bag) and thousands of pounds of quilting fabric during my move.  It held up to paints, plants, garden pits, & pretty much anything I threw at it. I even put my pots & pans in these bags.  While I still thought they were a bit pricey I did buy some on sale & I think I bought 18 total that I was able to pack & take to my new place & unload & go pack again. Tho I now intend to leave some of my yarn in them as it’s waterproof.  Tho I intend to place it on a top shelf just to be on the safe side. Lol. Not one bag ripped, tore, or had an issue so far that I am aware of tho I have not checked them over very well. And I had no issues with the zippers tho I am positive that I packed several bags well over the weight limit on accident bc I was trying to keep certain quilting fabrics together for a quilt project.  I’ve bought some real duds on Amazon, but this was not one of them. This has by far been one of my better purchases & I’ve told my kids that are planning to move to buy the bags too bc it is just so much easier imo.  I literally used a taxi to move half my stuff (disabled & don’t drive) & was able to fold the bags back down to how they arrived after unpacking to take them back to be packed again.  I also made little tags and used color coded handkerchiefs I hung on the handles so I knew which room the bags went in or knew what was in them without having to open them in the wrong room once I moved.  It saved time.  I live in an apt & these bags take up a lot less space than the massive sterling & Rubbermaid hard sided plastic totes I normally use for moving & craft storage.  I still have them & use them, but storing them is a challenge.  Also, the bags fit under my zinus/spa sensations type elevated platform bed. It’s a frame amazon sells & you buy your own mattress. Normally I can fit 8 hard sided tubs under my bed (queen bed), but I’m limited by the height of the tubs. The bags fit or I’m able to squish to fit if I overfill them which is nice.  Depending on how full you pack them you can get 4-8. They are different sizes than my plastic tubs tho.  I only wish I had stumbled across these bags years ago given how many times I’ve moved. Lol.",[],B09H2VJW6K,B0BXDLF8TW,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1672043410846,0,True
2.0,Lid very loose- needs a gasket imo. Small base.,"[[VIDEOID:c87e962bc893a948856b0f1b285ce6cc]] I wanted to love this bc I previously bought a matching turquoise teapot, but the loose lid (defective or design flaw? Idk) on the cups is driving me batty. I’m disabled so my gait is not great to begin with & the lid just bangs non-stop while I walk from my kitchen to wherever I’m going with my tea. It’s incredibly annoying.  I had hoped it was just a one-off so I purchased it in another color & sadly it has the same exact problem.  They could fix the problem by adding a rubber gasket or flange to the lid imo & I even thought of doing so myself until I accidentally knocked the cup over due to a design flaw that has a small base on the cup.  I like the lid bc I run a fan continuously & I live with 2 service dogs so I like to keep my drinks covered beyond just the brew times so I really hope they update this cup bc it does keep the tea warm & the size is perfect for a 2 cup brew.<br /><br />I wish they would fix the obvious design flaw of the base that is too small for a cup that tall & wide bc it is also very easy to accidentally knock over as I mentioned above.  I did it several times before I yet boxed them both back up.<br /><br />Overall I like the product as it seems as it was made with quality in mind, but missed the mark in the design phase.  The colors are pretty & the cups I purchased keep the tea warm, but the lids are either defective or a design flaw.  I really hope the company fixes these issue bc the colors match teapots I already own. Lol.  I intend to see if the company has another design that works better for me in the meantime.","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/616kZbRGDpL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/616kZbRGDpL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/616kZbRGDpL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/61FTfrIYkxL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61FTfrIYkxL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/61FTfrIYkxL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/61SJVAX5OgL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61SJVAX5OgL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/61SJVAX5OgL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/61X-p2XkXCL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61X-p2XkXCL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/61X-p2XkXCL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/7128PPNq7DL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/7128PPNq7DL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/7128PPNq7DL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/71NntqjmbSL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71NntqjmbSL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/71NntqjmbSL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/71W5xfQ2fRL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71W5xfQ2fRL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/71W5xfQ2fRL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/71ejQCtVxDL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71ejQCtVxDL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/71ejQCtVxDL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/71y2uLtNCSL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71y2uLtNCSL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/71y2uLtNCSL._SL256_.jpg'}]",B07RL297VR,B09G2PW8ZG,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1653447296788,0,True
5.0,Best purchase ever!,"If you live at a higher elevation like me (5k Colorado) just know that after the buzzer beeps you might wanna leave the hard boiled eggs inside the steamed cooker for another minute or two if you want the egg cooked all the way through. I also add a bit more water than the fill line says, but again that’s bc of my elevation & it evaporates quickly.  It’s not any quicker than I used to make them, but it’s a lot less water. I’m disabled & have a TBI rn so the auto-cutoff was a no-brained for me. I bought the blue bc it was cheapest.  My service 🐶  🐶 love hard boiled eggs too so we are enjoying this new addition to our kitchen.  My only regret is that I did not buy it sooner & that Amazon never has the color I want for the cheapest price, but I can live with the bb blue.  We have used it 3x & so far it’s working okay. Oh- don’t place it under upper cabinets as it has a vent hole & it will vent & it will make the cabinets sweat.  Give it some room to breathe imo.  I keep a pair of tongs handy to unload the eggs & dunk them in my ice bath. Yes. You end up using water again, but I have house plants I’ll use it on anyways so it not just wasted water.  If it holds up & doesn’t break down it will truly be one of my top 10 if not top 5 amazon lifetime purchases.  It’s that good.  Nothing is worse than watching eggs boil. Lol.  I start this up at the same time I start my tea brewing and go about feeding the wildlife in my backyard.  It’s just a very peaceful start to my day. I know ppl have said stuff about the buzzer, but honestly I happen to be hearing impaired in both ears & my service dogs are trained to hear for me. I like that it’s loud enough that if my pups are outside & I am in my living room or just outside on my patio with them & my screen door is open then they & often I can still hear it.  I wish appliances had volume options on their alarms, but until then I am very happy with this one.  I am just extremely happy with this purchase. It’s been a long time since I could say that. Lol.","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/71AIp+QnnGL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71AIp+QnnGL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/71AIp+QnnGL._SL256_.jpg'}]",B09CQF4SWV,B08CSZDXZY,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1651855096178,0,True
5.0,Excellent for yarn!,"I use these to store yarn. They easily hold 12 of the 10.5 ounce Bernat Pipsqueaks yarn.  The pic only has 11.  I wish it had the zipper closure, but aside from that I love these bags.  I wasn’t sure how I would like the blue color, but I find that it adds uniformity on my wire shelves so different colors of yarn aren’t glaring at me 24/7 & the blue is a calming color.","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/51bUXNRmgwL._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/51bUXNRmgwL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/51bUXNRmgwL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61sU396V-sL._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61sU396V-sL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61sU396V-sL._SL256_.jpg'}]",B003U6A3EY,B0C6V27S6N,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1589934525940,1,True
5.0,Perfect for tea leaves!,"This is the perfect size for me being single and it’s great for brewing sun tea or others. I have an electric tea kettle so normally I just store my brewed tea in here, but lately I’ve been using it w my jasmine tea leaves and I love it. I wish they had more colors for lids.",[],B004506V8Q,B00GUAURXY,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1583557787276,0,True
5.0,Excellent!,Lost my old one during my last move. This works perfectly. I can’t stop making bread and biscuits.  So much for my diet. This is a very sturdy and functional product and I have zero complaints.,[],B01CX1RIMQ,B08K8N5FB2,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1581799806318,0,True
3.0,"Works, but weird stuff floating on water","I like the temp settings, but does anybody know what the Protozoa looking stuff is on top of my water in my new kettle? I’ve washed it repeatedly. I’ve used only distilled or spring water bringing it to a boil first to kill any bacteria then letting it cool to the tea temp I need and yet every time I use it the water looks like this.  I’ve never had this problem with glass or other stainless kettles and quite frankly I’m afraid to drink it.  It grossed me out. While living in an apt complex that had busted water pipes I contracted h pylori and I’m deathly afraid of getting it again.  Any ideas?","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71N7yKRhYLL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71N7yKRhYLL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71N7yKRhYLL._SL256_.jpg'}]",B005YR0F40,B0CGY43Y3P,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1552877983695,2,True
5.0,100% cotton! Yay!!!!!,"This duvet set is a serious bubble gum girly pink.  After raising 5 kids and 25 years of marriage I am single and have seriously declared independence in my bedroom that is going seriously pastel! LOL.  The only problem with that is 2 small dogs who like to run in my muddy garden, but the cotton washes great and gets softer with every washing which is the thing I love most about cotton.  I love that this duvet has a zipper too!  The only drawback I’ve found and that will be super easy for me to fix since I sew is that the ties inside are made of a very cheap fabric in my opinion. They came a bit frayed, but next time I am at the local Joann’s Fabric store I will pick up some twill tape or other material to replace the ties. The big irony is that I currently have a mint colored comforter inside of the duvet as I recently moved and have not unpacked my duvet insert yet.  I also like the little girly ruffle that is on 3 sides of the comforter.  Yes, I am a 52 year old woman with a bubble gum pink duvet cover and I’m loving it!","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61rRjUNyKoL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61rRjUNyKoL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61rRjUNyKoL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71JHafeVlNL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71JHafeVlNL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71JHafeVlNL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71NuVodKXBL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71NuVodKXBL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71NuVodKXBL._SL256_.jpg'}]",B077BYFY8J,B077BYFY8J,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1547920165545,1,True
5.0,Soft and sturdy at the same time,I purchased this after having purchased some other lower quality peshtemals and I am very happy with it. It’s light without being too light and the size is perfect for using as a towel or to put over my yoga mat or my lounge chair to keep my dog’s fluff off the chair fabric.  You can also tie it several ways to wear it as a dress or a sarong at the beach and it makes a great beach towel.,[],B01GEDH4KU,B01GEDH4KU,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1547919332140,0,True
